,Population,,,,,,Housing Units,,,,,
,1990,1980,1970,1960,1950,1940,1990,1980,1970,1960,1950,1940
Alabama,,,,,,,,,,,,
Autauga County,34222,32259,24460,18739,18186,20977,12732,10963,7396,5236,4953,5407
Baldwin County,98280,78556,59382,49088,40997,32324,50933,33277,21803,16593,13046,8901
Barbour County,25417,24756,22543,24700,28892,32722,10705,9325,7393,7379,7894,8085
Bibb County,16576,15723,13812,14357,17987,20155,6404,5759,4476,4145,4727,5037
Blount County,39248,36459,26853,25449,28975,29490,15790,13846,9212,7908,7898,7096
Bullock County,11042,10596,11824,13462,16054,19810,4458,3895,3712,3873,4389,5025
Butler County,21892,21680,22007,24560,29228,32447,8745,8117,7134,7096,7857,7808
Calhoun County,116034,119761,103092,95878,79539,63319,46753,42582,32563,27897,21350,15564
Chambers County,36876,39191,36356,37828,39528,42146,14910,14428,11974,11173,11205,10677
Cherokee County,19543,18760,15606,16303,17634,19928,9379,8197,5452,4800,4653,4639
Chilton County,32458,30612,25180,25693,26922,27955,13883,12869,9106,8339,7693,7012
Choctaw County,16018,16839,16589,17870,19152,20195,6789,6084,5286,4700,4840,4919
Clarke County,27240,27702,26724,25738,26548,27636,10853,10019,8353,7028,7062,6713
Clay County,13252,13703,12636,12400,13929,16907,5608,5328,4336,3941,3995,4274
Cleburne County,12730,12595,10996,10911,11904,13629,5232,4798,3634,3223,3285,3282
Coffee County,40240,38533,34872,30583,30720,31987,16951,14582,11492,9063,8685,7712
Colbert County,51666,54519,49632,46506,39561,34093,21812,20796,16083,13952,10857,8514
Conecuh County,14054,15884,15645,17762,21776,25489,6207,6000,5165,5137,5684,5942
Coosa County,11063,11377,10662,10726,11766,13460,5113,4933,3923,3266,3208,3344
Covington County,36478,36850,34079,35631,40373,42417,16178,15213,12479,11596,11533,10491
Crenshaw County,13635,14110,13188,14909,18981,23631,5938,5503,4684,4669,5741,6074
Cullman County,67613,61642,52445,45572,49046,47343,28369,24729,17478,13548,12954,10952
Dale County,49633,47821,52995,31066,20828,22685,19432,16553,14791,9030,6329,5748
Dallas County,48130,53981,55296,56667,56270,55245,19045,19355,16799,15558,15323,14684
DeKalb County,54651,53658,41981,41417,45048,43075,22939,20888,14729,13097,12346,10230
Elmore County,49210,43390,33661,30524,31649,34546,19497,17215,12117,9743,9110,8408
Escambia County,35518,38440,34912,33511,31443,30671,14356,13557,10817,9491,8212,7130
Etowah County,99840,103057,94144,96980,93892,72580,41787,39891,31987,30068,26426,17559
Fayette County,17962,18809,16252,16148,19388,21651,7555,7514,5794,5323,5271,5275
Franklin County,27814,28350,23933,21988,25705,27552,11772,11239,8363,7121,7083,6447
Geneva County,23647,24253,21924,22310,25899,29172,10416,9344,7681,6846,7438,6957
