Year,Low,Middle,High
2015,321130000,321363000,321595000
2016,323497000,323849000,324200000
2017,325851000,326348000,326844000
2018,328191000,328857000,329524000
2019,330511000,331375000,332238000
2020,332808000,333896000,334983000
2021,335077000,336416000,337754000
2022,337312000,338930000,340548000
2023,339511000,341436000,343361000
2024,341669000,343929000,346190000
2025,343782000,346407000,349032000
2026,345848000,348867000,351885000
2027,347863000,351304000,354745000
2028,349824000,353718000,357611000
2029,351731000,356107000,360482000
2030,353584000,358471000,363358000
2031,355390000,360792000,366194000
2032,357149000,363070000,368991000
2033,358864000,365307000,371749000
2034,360536000,367503000,374471000
2035,362166000,369662000,377158000
2036,363759000,371788000,379816000
2037,365318000,373883000,382447000
2038,366846000,375950000,385054000
2039,368346000,377993000,387640000
2040,369821000,380016000,390210000
2041,371274000,382021000,392766000
2042,372710000,384012000,395313000
2043,374129000,385992000,397853000
2044,375538000,387965000,400391000
2045,376939000,389934000,402929000
2046,378333000,391902000,405471000
2047,379722000,393869000,408016000
2048,381110000,395841000,410570000
2049,382500000,397818000,413136000
2050,383892000,399803000,415714000
2051,385287000,401796000,418305000
2052,386686000,403798000,420910000
2053,388091000,405811000,423531000
2054,389502000,407835000,426168000
2055,390922000,409873000,428823000
2056,392350000,411923000,431497000
2057,393788000,413989000,434189000
2058,395236000,416068000,436900000
2059,396694000,418161000,439629000
2060,398160000,420268000,442374000
