County,State, In-Migration , Out-Migration , Net Migration , +/- , Rank 
Travis,Texas,778318.565961114,0,778318.565961114,243712.176931577,1
Harris,Texas,329845.994836875,30000.3200000288,299845.674836846,101584.860498973,2
Orange,Florida,271879.625333721,0,271879.625333721,125819.97378983,3
Palm Beach,Florida,364083.481722545,149813.520000788,214269.961721757,94375.7648261384,4
Los Angeles,California,239918.532871726,38759.5999999386,201158.932871787,90891.0432138821,5
East Baton Rouge,Louisiana,174999.010394891,2115.3400000036,172883.670394887,51470.5138662873,6
Kings,New York,303751.6005867,161564.419999928,142187.180586772,155542.419223529,7
Hillsborough,Florida,268959.25911537,137749.409999845,131209.849115524,87589.6811028258,8
Clark,Nevada,117636.033715908,0,117636.033715908,54261.9764985739,9
Bronx,New York,122786.86660901,14754.0500000348,108032.816608976,55945.0823129421,10
Mecklenburg,North Carolina,103995.881881388,0,103995.881881388,36610.1773383389,11
Wake,North Carolina,103112.336168485,0,103112.336168485,39926.329231162,12
Fulton,Georgia,95100.676372027,0,95100.676372027,46905.4130535421,13
Maricopa,Arizona,89865.253837387,0,89865.253837387,44704.984244581,14
Fort Bend,Texas,89815.181844339,0,89815.181844339,32042.1258024632,15
Dallas,Texas,89218.5078767225,0,89218.5078767225,43672.062123963,16
Polk,Florida,86265.725943206,0,86265.725943206,44927.8010266993,17
Queens,New York,244095.739538174,159372.189999952,84723.5495382225,112393.744560061,18
Tarrant,Texas,80498.566637267,0,80498.566637267,28977.00616017,19
New York,New York,188646.523686386,109045.380000248,79601.1436861389,82510.5456086398,20
Cook,Illinois,77554.9959007717,0,77554.9959007717,32589.7473650472,21
Seminole,Florida,73811.2580207543,245.7100000003,73565.548020754,25962.5634079254,22
Bexar,Texas,70875.6664560169,0,70875.6664560169,33505.0817342071,23
Gwinnett,Georgia,68038.4550230364,0,68038.4550230364,46411.5593762856,24
Contra Costa,California,91068.0971653049,23572.3999999471,67495.6971653578,29914.6069117464,25
Leon,Florida,66612.5750475216,0,66612.5750475216,30850.479572291,26
Osceola,Florida,62295.6584274625,0,62295.6584274625,21013.1855318641,27
Philadelphia,Pennsylvania,77180.8628797398,14925.2400000867,62255.6228796531,31596.0228186141,28
King,Washington,66791.8903606118,4989.3099999956,61802.5803606162,23572.4591128236,29
Lafayette,Louisiana,64412.9756308592,4564.8000000055,59848.1756308537,18254.1511487997,30
Collin,Texas,59092.2370276743,0,59092.2370276743,26298.526971717,31
Dorchester,South Carolina,65983.3409647619,8802.2199999849,57181.120964777,23858.8460319616,32
Montgomery,Texas,55053.7701662685,0,55053.7701662685,19962.8931987719,33
Lake,Florida,53701.239155812,31.5399999998,53669.6991558123,19789.3386915007,34
Pasco,Florida,120188.990741323,67056.089999553,53132.90074177,39753.2213534677,35
Riverside,California,51813.5775433795,0,51813.5775433795,48473.9355407253,36
St Lucie,Florida,83541.0591723656,35304.6900000535,48236.3691723121,34244.3810447415,37
Worcester,Massachusetts,46339.8014623576,0,46339.8014623576,13527.07379409,38
San Joaquin,California,45327.1604910231,0,45327.1604910231,10895.0312013799,39
Marion,Florida,44300.2570732387,14.6199999994,44285.6370732394,45757.9044810635,40
Berkeley,South Carolina,66247.0430608967,22960.1100000743,43286.9330608224,23136.8107752537,41
District of Columbia,District of Columbia,43650.983520734,4629.1900000033,39021.7935207308,20033.6121534817,42
Montgomery,Maryland,37922.4915658759,0,37922.4915658759,16792.4171207276,43
De Kalb,Georgia,36468.8748002315,0,36468.8748002315,26641.9427489825,44
Sumter,Florida,36390.200801503,0,36390.200801503,15689.7476387674,45
San Francisco,California,68390.3792541859,33363.5600000515,35026.8192541344,30355.7460344783,46
Denton,Texas,34350.9011578914,0,34350.9011578914,16481.9920461035,47
Williamson,Texas,33853.7454021637,0,33853.7454021637,16916.2765339571,48
Hartford,Connecticut,34221.1609493554,717.2000000036,33503.9609493518,16785.3505059598,49
Fairfax,Virginia,38100.991047553,6619.389999982,31481.601047571,25320.1560496846,50
Essex,New Jersey,42422.2117978613,11751.8500000334,30670.3617978279,15820.4265689588,51
Denver,Colorado,30241.787121322,0,30241.787121322,12237.1454512195,52
St Landry,Louisiana,29928.6578182105,14.2700000002,29914.3878182103,8937.1261642693,53
Multnomah,Oregon,31579.0268571075,1762.2599999947,29816.7668571128,15157.4384079336,54
Tangipahoa,Louisiana,40634.029867107,11736.7499999454,28897.2798671616,14486.4826452139,55
Providence,Rhode Island,32701.7161983439,4242.409999994,28459.3061983499,10006.5461038985,56
Davidson,Tennessee,28400.4657255299,0,28400.4657255299,13877.335184983,57
Greenville,South Carolina,28358.629699913,0,28358.629699913,18423.9270862758,58
Gloucester,New Jersey,42735.402080545,15178.3900000684,27557.0120804766,14892.7623748943,59
El Paso,Colorado,27528.8001090189,0,27528.8001090189,10960.1876207004,60
Chester,Pennsylvania,26563.6202152368,0,26563.6202152368,12368.353947272,61
Passaic,New Jersey,26925.2778949026,627.5000000004,26297.7778949022,9072.9582405082,62
Alachua,Florida,26144.4324678249,0,26144.4324678249,18851.0668768003,63
Loudoun,Virginia,26102.5005281034,0,26102.5005281034,16346.3883384932,64
Clayton,Georgia,25960.3411178924,0,25960.3411178924,11306.5814653415,65
Prince Georges,Maryland,29953.5187626801,4366.4100000114,25587.1087626687,15538.4326305572,66
Cobb,Georgia,25494.2920475259,0,25494.2920475259,26533.5141530066,67
San Diego,California,69917.0121970652,45034.0999999404,24882.9121971248,47162.1845817116,68
Honolulu,Hawaii,24300.8606823727,0,24300.8606823727,21930.1492174627,69
Morris,New Jersey,23695.7023476259,0,23695.7023476259,9688.013028868,70
Wicomico,Maryland,29814.3988022205,6200.6299999915,23613.768802229,12226.8361704824,71
Pearl River,Mississippi,22582.0099100738,0,22582.0099100738,16999.7748311799,72
Norfolk,Massachusetts,51965.4487560332,29527.1499998962,22438.298756137,15778.2078424192,73
Hardin,Texas,21755.3530590069,0,21755.3530590069,3093.4287634537,74
Montgomery,Pennsylvania,21615.2651445848,0,21615.2651445848,12621.7188087782,75
Pierce,Washington,27530.1064876176,6190.3000000067,21339.8064876109,14126.0504722437,76
Sarasota,Florida,101603.800973979,80659.6200003752,20944.1809736033,35937.6853428552,77
Buncombe,North Carolina,20726.4007678326,0,20726.4007678326,12592.6831324636,78
Hillsborough,New Hampshire,19976.3433531141,0,19976.3433531141,10068.4633242957,79
Bell,Texas,19618.3413278305,0,19618.3413278305,11508.017275071,80
Richland,South Carolina,19045.9162549432,0,19045.9162549432,9780.0276201851,81
Arlington,Virginia,19202.0205069149,186.5599999995,19015.4605069154,13020.7243417764,82
Pitt,North Carolina,26641.7784738199,7796.6600000285,18845.1184737914,12053.9143444394,83
Franklin,Ohio,18784.9805451646,0,18784.9805451646,6207.7494094982,84
