FIPS,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014
01001,48366,49676,51328,52405,53277,54135,54632,55199,54927,54695,54864
01003,156266,162183,168121,172404,175827,179406,183195,186534,190048,194736,199064
01005,28287,28027,27861,27757,27808,27657,27411,27351,27175,26947,26749
01007,21721,22042,22099,22438,22705,22941,22867,22745,22658,22503,22533
01009,54124,54624,55485,56240,57055,57341,57338,57562,57595,57623,57546
01011,11056,11011,10776,11011,10953,10987,10890,10675,10612,10549,10673
01013,20870,20830,20815,20894,20949,20867,20951,20880,20688,20372,20327
01015,113462,114477,115388,116211,117274,118363,118510,117785,117219,116482,115941
01017,35463,35279,34945,34847,34563,34384,34157,34031,34092,34122,33948
01019,24887,25031,25466,25553,25636,25854,25991,25993,25958,26014,25897
01021,41534,41946,42318,42881,43239,43484,43682,43688,43601,43645,43779
01023,14930,14545,14431,14216,14114,13976,13820,13607,13561,13396,13318
01025,26958,26764,26755,26436,26283,26038,25763,25582,25152,25118,24865
01027,14121,14077,14053,14085,14161,14006,13897,13688,13434,13406,13440
01029,14339,14368,14538,14799,14874,14918,14988,14928,14889,14976,15026
01031,45053,45604,46228,47458,48516,49440,50104,50434,51113,50647,50652
01033,54380,54359,54413,54486,54473,54426,54433,54534,54569,54528,54461
01035,13430,13421,13603,13441,13388,13274,13202,13187,13041,12908,12677
01037,11560,11467,11451,11439,11493,11410,11556,11484,11347,11253,11034
01039,36806,37204,37441,37631,37545,37648,37776,38017,37803,37811,37755
01041,13727,13699,13880,13956,13922,14024,13857,13898,13916,13847,13852
01043,78131,78692,79044,79576,80273,80351,80459,80411,80275,80674,81041
01045,49245,49050,49077,49488,49871,49854,50358,50107,50287,49759,49409
01047,44795,44434,44323,44194,44265,43759,43790,43256,42795,41981,41559
01049,67260,67794,68495,69450,70228,70864,71151,71353,70944,70905,71034
01051,71018,72978,75246,77124,77698,78632,79549,80006,80220,80555,80562
01053,37713,37601,37673,37839,37929,38249,38292,38202,38028,37773,37740
01055,103080,103174,103528,103893,104206,104239,104462,104354,104257,103865,103374
01057,18022,18030,17767,17523,17541,17310,17219,17050,16944,16823,16768
01059,30768,30968,31134,31004,31459,31589,31729,31767,31658,31504,31494
01061,25772,25988,26271,26322,26646,26653,26815,26760,26928,26684,26598
01063,9686,9675,9361,9385,9359,9182,8987,8907,8852,8752,8587
01065,16765,16622,16427,16418,16260,16025,15708,15358,15360,15248,15048
01067,16692,16752,16953,17108,17129,17243,17307,17376,17157,17130,17080
01069,92593,93903,95846,97727,99183,100500,101888,102468,103362,103625,104148
01071,53525,53332,53483,53333,53525,53461,53128,53212,53054,52923,52541
01073,656023,654919,655893,655163,656510,658441,658555,657789,657668,658727,659544
01075,15075,15009,14816,14901,14799,14689,14508,14287,14245,14210,14070
01077,88732,89358,90294,91107,92202,92526,92679,92603,92652,92688,92983
01079,34318,34435,34028,34293,34196,34315,34342,34047,33805,33575,33448
01081,122274,126133,129247,131934,134524,138566,140780,144117,148318,151445,154211
01083,69593,71303,73651,76063,78835,81326,83193,85530,87322,88902,90616
01085,12623,12397,12124,11973,11813,11486,11259,11130,10846,10658,10489
01087,22685,22388,22227,21942,21597,21190,21540,21284,20603,20021,19640
01089,295655,301474,309170,315859,323526,330856,335988,339519,342554,346373,349596
01091,21777,21569,21531,21475,21331,21170,20975,20649,20360,20105,19975
01093,30516,30494,30779,30849,30918,30646,30770,30650,30480,30220,30200
01095,85131,86516,88209,89605,91072,92213,93235,93890,94217,94291,94232
01097,397959,398942,402916,405715,409196,411994,413277,413232,413737,413929,414314
01099,23769,23683,23602,23437,23393,23218,22994,22800,22587,22176,21931
01101,223002,223608,227291,227888,227461,227607,229844,229162,228702,227927,227307
01103,113006,113964,115491,116397,117694,118954,119626,120007,120075,119539,119408
01105,11153,10881,10677,10774,10722,10690,10556,10472,10184,10019,9819
01107,20380,20192,20128,19989,19951,19814,19705,19354,19313,19302,20282
01109,30593,30772,31309,31761,32149,32560,32957,32967,33093,33563,33016
01111,22525,22658,22695,22662,22946,22864,22916,22740,22532,22546,22350
01113,49498,49731,50459,51074,51434,52162,53188,54833,57478,59123,59207
01115,70416,72596,75948,79348,81223,83009,83761,84211,84975,86029,86219
01117,165757,171691,178841,183491,188534,192708,195828,197885,200828,203897,206152
01119,14324,14143,14059,13926,13882,13746,13744,13491,13428,13376,13253
01121,81139,81546,81991,82226,82735,82674,82110,81792,82072,81497,81445
01123,40904,40857,41243,41414,41668,41831,41516,41394,41040,41021,40886
01125,171960,175731,181383,184350,188093,192792,195036,196699,198597,200752,202803
01127,68629,68500,68234,67695,67835,67347,66947,66577,66084,65749,65326
01129,17801,17690,17705,17491,17496,17493,17597,17355,17140,16888,16851
01131,12493,12369,12221,12208,12148,11870,11615,11440,11306,11150,10951
01133,24614,24629,24796,24858,24696,24691,24395,24354,24186,24183,24129
04001,68161,68521,69390,69602,69883,71008,71676,72179,72215,72292,71762
04003,123234,125786,127241,128206,129023,130081,131789,132952,131826,129332,127054
04005,125117,127025,128695,130442,131853,133477,134651,134181,136002,136448,137209
04007,51423,51655,52541,53252,53437,53561,53569,53422,52973,52982,53008
04009,32703,32964,33701,35175,36639,37525,37110,37124,37009,37419,38064
04011,7549,7595,7838,8205,8561,8635,8353,8569,8744,8892,9319
04012,19979,20379,20573,20647,20555,20514,20458,20582,20492,20479,20442
04013,3417860,3538988,3642884,3711954,3771061,3803779,3827371,3869626,3939776,4006307,4076708
04015,180521,188773,196168,199760,200078,199696,200181,202733,203262,203026,203320
04017,102774,104184,105624,106927,107626,107571,107551,107518,107268,107077,107613
04019,901342,920298,940930,955869,967778,975580,982154,987297,991528,994759,1000916
04021,219472,235708,271328,306174,335311,349830,383842,378226,381910,384258,394004
04023,41623,42961,44298,45338,46144,47011,47462,47615,47292,46845,46468
04025,187822,195424,204082,208773,211211,211172,211061,210883,211809,214198,217509
04027,172824,178816,183848,187357,191202,193714,196509,202581,202105,201810,203039
05001,19967,19954,19785,19434,19275,19134,18978,18869,18957,18746,18484
05003,23156,22770,22501,22229,22148,21920,21832,21673,21518,21281,20958
05005,39334,39992,40867,41491,41519,41561,41503,41341,41076,40976,40871
05007,179010,186756,195569,203664,210807,216620,222894,228827,234315,238902,244192
05009,34900,35492,36056,36759,36974,36844,36918,37063,37308,37305,37090
05011,12107,12012,11778,11737,11643,11538,11496,11425,11262,11120,11007
05013,5591,5675,5693,5659,5528,5421,5342,5243,5278,5193,5168
05015,26052,26435,26615,26699,26822,27158,27562,27448,27595,27771,27715
05017,12879,12729,12516,12313,12050,11851,11782,11693,11486,11347,11187
05019,22904,22800,22924,23139,23272,23100,22979,22918,22745,22574,22551
05021,16827,16790,16679,16464,16209,16056,16077,15872,15706,15481,15295
05023,25018,25274,25430,25545,25623,25870,25991,25890,25773,25638,25603
05025,8744,8859,8829,8896,8775,8649,8695,8672,8607,8515,8397
05027,25154,25025,25133,24847,24666,24622,24511,24682,24373,24247,24014
05029,20519,20683,20753,20992,21025,21257,21266,21115,21127,21071,20977
05031,86331,87512,89725,91350,93316,95482,96771,98310,99854,101513,102526
05033,56832,57779,59126,60210,60933,61595,62026,61799,61901,61664,61797
05035,50266,50244,50360,50438,50699,50929,50937,50504,50061,49731,49550
05037,18782,18883,18525,18172,18200,17971,17851,17796,17691,17511,17171
05039,8740,8589,8477,8367,8282,8188,8086,8047,7947,7887,7687
05041,14270,13992,13870,13523,13273,13108,12979,12727,12585,12489,12268
05043,18595,18618,18705,18535,18481,18495,18515,18725,18776,18672,18635
05045,96162,99192,102969,105637,108477,110813,113980,116223,118421,119096,120463
05047,17955,18073,18151,18237,18229,18145,18116,17993,17945,17900,17815
05049,12079,12127,12119,12354,12382,12231,12229,12238,12170,12171,12074
05051,91084,92096,94077,94753,95636,95840,96145,96834,96969,97627,97720
05053,17026,17244,17442,17483,17718,17751,17889,17932,18023,18035,18069
05055,39046,39599,40469,40918,41286,41723,42192,42751,43208,43145,43772
05057,22971,22924,22957,22918,22624,22615,22620,22490,22349,22430,22348
05059,31071,31565,32248,32631,32737,32797,32943,33129,33492,33506,33396
05061,13991,14025,13843,13680,13804,13741,13820,13821,13685,13555,13516
05063,34989,35155,35426,35690,35859,36259,36738,36846,36917,36834,37043
05065,13512,13524,13583,13552,13681,13679,13683,13567,13529,13400,13547
05067,18159,18269,18092,18098,17966,17945,17974,17884,17679,17730,17595
05069,81455,80562,79977,78788,78354,77759,77358,76008,74604,73163,72422
05071,23850,24173,24596,25109,25236,25374,25585,25641,25879,25901,25972
05073,8153,8042,7879,7845,7806,7654,7637,7533,7448,7284,7163
05075,17541,17343,17193,17286,17460,17336,17424,17276,17037,17050,16970
05077,11512,11370,11067,10823,10786,10458,10412,10291,10187,10012,9844
05079,14466,14496,14315,14237,14176,14185,14104,14336,14177,14059,14031
05081,13176,13114,13147,13107,13099,13228,13143,12944,12917,12741,12522
05083,22682,22661,22689,22758,22699,22429,22325,22229,21909,22011,21849
05085,58449,60225,62648,64379,66086,67481,68634,69458,70013,70651,71264
05087,14437,14714,15156,15353,15619,15673,15735,15656,15590,15674,15721
05089,16293,16464,16759,16795,16996,16721,16624,16673,16619,16442,16422
05091,41765,42181,42669,42710,43047,43284,43529,43751,43653,43456,43569
05093,47777,47399,46983,46850,47037,46857,46349,46011,45537,44676,44232
05095,9287,9176,8949,8670,8456,8286,8099,8098,7853,7690,7635
05097,9334,9358,9437,9478,9573,9490,9472,9397,9336,9249,9155
05099,9535,9479,9383,9267,9062,9058,8976,9005,8907,8774,8651
05101,8503,8467,8474,8428,8423,8311,8334,8262,8062,8054,7878
05103,27107,26934,26656,26448,26202,26024,26134,25728,25388,24941,24750
05105,10352,10356,10352,10496,10441,10443,10441,10377,10321,10329,10352
05107,24174,23946,23244,22775,22411,21976,21655,21405,20740,20443,19962
05109,11246,11216,11262,11342,11283,11260,11285,11232,11248,11110,10982
05111,25039,25058,24904,24813,24599,24632,24568,24440,24282,24172,24144
05113,20057,20203,20422,20377,20388,20583,20680,20554,20416,20344,20253
05115,56606,57535,58809,59793,60528,61302,61867,62654,62576,62542,63073
05117,9111,9046,8989,8951,8806,8754,8696,8600,8484,8377,8349
05119,366608,368274,371647,373403,376567,380053,383632,386679,388738,391068,392434
05121,18207,18086,18185,18054,18072,17964,17969,17970,17839,17625,17561
05123,28905,28639,28496,28394,28110,28336,28174,27980,27973,27491,27078
05125,90961,93493,96661,100043,102599,105362,107532,109509,111360,113276,114781
05127,10872,10976,11239,11287,11227,11097,11278,11235,11006,10907,10665
05129,8046,8110,8210,8275,8274,8190,8187,8070,7996,7981,7915
05131,118168,119426,121492,122946,123762,125116,125920,126926,127441,127067,126683
05133,16041,16298,16273,16347,16606,16812,17142,17175,17151,17322,17388
05135,17353,17391,17629,17506,17416,17373,17236,17269,17031,17042,16817
05137,11768,11909,12262,12230,12370,12340,12403,12497,12541,12422,12378
05139,43747,43134,42914,42267,42222,41944,41554,41387,40850,40593,40129
05141,16664,16869,17027,17226,17373,17293,17265,17198,17147,16972,16887
05143,176837,183799,190314,194526,197223,199774,204123,207734,211222,215525,219442
05145,70403,71355,72728,73573,74848,76284,77350,78005,78545,78471,78368
05147,8102,8023,7877,7648,7458,7294,7249,7176,7066,7031,6871
05149,21074,21141,21556,21633,21935,22145,22206,21924,21791,21779,21737
06001,1445721,1441545,1444484,1455715,1477208,1498539,1513952,1532215,1556648,1582936,1611572
06003,1263,1219,1276,1274,1202,1197,1163,1093,1110,1127,1084
06005,37400,38040,38353,38756,38248,38238,38042,37539,37112,36635,36748
06007,213065,214752,216824,217469,219034,219777,220072,220003,220969,221768,223629
06009,44530,45295,46045,46268,46265,45900,45490,45163,44826,44667,44677
06011,20207,20540,20890,21075,21134,21250,21474,21366,21350,21336,21268
06013,992424,999013,1000834,1009152,1023344,1037890,1052827,1066182,1079093,1095310,1110971
06015,27950,28281,28211,28415,28496,28599,28632,28447,28203,27830,27206
06017,171653,175003,176773,177694,179150,180455,181194,180975,180680,181618,183333
06019,861035,872470,883862,895933,909630,921478,933248,940360,946851,953787,963170
06021,27122,27393,27652,27775,28019,28100,28129,28160,27894,27866,27909
06023,130702,131497,132093,132001,132657,133744,134794,135239,134596,134444,134584
06025,152259,156113,160505,164596,167917,172008,175234,176157,177241,177267,178868
06027,18578,18478,18370,18426,18318,18544,18513,18401,18370,18377,18340
06029,736296,760726,784511,803281,818327,830137,842207,848767,855237,864014,871895
